Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location,Highlighted at,Document tags
故兵以诈立，以利动，以分合为变者也。,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,19,2022-06-14 08:32:40.637567+00:00,孙子兵法
是故智者之虑，必杂于利害。杂于利，而务可信也；杂于害，而患可解也。,孙子兵法 (6元本中华国学百部),孙武,,无利可图，就不去 考试了。,pink,pink,order,60,2022-07-09 04:43:50.186397+00:00,孙子兵法
辞卑而益备者，进也；辞强而进驱者，退也；,孙子兵法 (6元本中华国学百部),孙武,,会叫的狗 不咬人。,pink,pink,order,22,2022-06-16 07:17:07.266248+00:00,孙子兵法
谆谆翕翕，徐与人言者，失众也；数赏者，窘也；数罚者，困也；先暴而后畏其众者，不精之至也；来委谢者，欲休息也。兵怒而相迎，久而不合，又不相去，必谨察之。,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,24,2022-06-16 07:23:45.716253+00:00,孙子兵法
视卒如婴儿，故可与之赴深溪；视卒如爱子，故可与之俱死。厚而不能使，爱而不能令，乱而不能治，譬若骄子，不可用也。,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,26,2022-06-16 08:33:38.320622+00:00,孙子兵法
兵之形，避实而击虚。水因地而制流，兵因敌而制胜。故兵无常势，水无常形，能因敌变化而取胜者，谓之神。,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,56,2022-06-26 10:22:19.005267+00:00,孙子兵法
激水之疾，至于漂石者，势也,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,71,2023-10-18 01:52:39.799940+00:00,孙子兵法
"行千里而不劳者，行于无人之地也。攻而必取者，攻其所不守也；守而必固者，守其所不攻也。
故善攻者，敌不知其所守；善守者，敌不知其所攻。",孙子兵法 (6元本中华国学百部),孙武,,敌不知,blue,blue,order,72,2023-10-18 02:09:16.400643+00:00,孙子兵法
无所不备，则无所不寡,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,73,2023-10-18 03:08:35.274188+00:00,孙子兵法
不知三军之事，而同三军之政者，则军士疑矣；不知三军之权而同三军之任，则军士惑矣。,孙子兵法 (6元本中华国学百部),孙武,,"军事：  事情，业务！

权：权变，随机应变，power/人 分配。 
权：人事。",pink,pink,order,38,2022-06-23 05:05:35.273143+00:00,孙子兵法
必以全争于天下，故兵不顿，而利可全,孙子兵法 (6元本中华国学百部),孙武,,"方法：「全争」
目的：「兵不顿，利可全」",pink,pink,order,63,2023-10-05 03:01:24.975578+00:00,孙子兵法
倍则战之，敌则能分之,孙子兵法 (6元本中华国学百部),孙武,,倍则分之，敌则能战之,pink,pink,order,64,2023-10-05 03:09:21.924283+00:00,孙子兵法
乱军引胜,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,65,2023-10-13 03:28:57.064482+00:00,孙子兵法
是故善战者，其势险，其节短,孙子兵法 (6元本中华国学百部),孙武,,"势：力量非常大！ 
攻击时间：极短！",pink,pink,,0,2022-06-12 09:37:55.806377+00:00,孙子兵法
善守者，藏于九地之下；善攻者，动于九天之上，故能自保而全胜也。,孙子兵法 (6元本中华国学百部),孙武,,"《 虚实》
善攻者， 敌不知其所守
善守者， 敌不知其所攻。
微乎微乎！至于无形；神乎神乎！至于无声，故能为敌之司命。


敌不知/不知/无知/


孙子描述了一种善战者的状态。他要守，你找不到他在哪；他要攻，你不知道他从哪攻。

意思就是这个，但如果是这个大白话，肯定不会传颂千古。

九地之下，九天之上，这就是文案写作里的具象化，让你一下子就记住了——看来孙子才是写文案第一人。https://www.zhihu.com/question/23033447",pink,pink,order,40,2022-06-23 05:12:35.932880+00:00,孙子兵法
昔之善战者，先为不可胜，以待敌之可胜。不可胜在己，可胜在敌。故善战者，能为不可胜，不能使敌必可胜。故曰：胜可知，而不可为,孙子兵法 (6元本中华国学百部),孙武,,"诸葛亮 攻， 
司马懿 守。

毛： 要打多久，就打多久，我看我们不要做决定， 让美国总统做决定， 我们一直打到胜利！！！ 😂

要等 对手犯错误！！！胜可为(孙子 用虚实调动敌人，让敌人犯错。)。

不可胜 ← 守 ← 九地（不知道）

   可胜 ←  攻  ← 九天（不知道）",pink,pink,order,39,2022-06-23 05:10:59.485767+00:00,孙子兵法
"乱生于治，怯生于勇，弱生于强。治乱，数也；勇怯，势也；强弱，形也。
故善动敌者，形之，敌必从之；予之，敌必取之；以利动之，以卒待之。
故善战者，求之于势，不责于人，故能择人而任势。",孙子兵法 (6元本中华国学百部),孙武,,"高祖被匈奴骗了！

孙子的确很强。但是吧孙子兵法当作孙子兵法来读的确有些无法解释。的确统一楼上所说，经历了这么长的时间的传播，的确又很多误解。再次要强调下，一本书要看懂，是要靠缘分的，没办法每个人都很孙子一样聪明，一样的三观，导致后人越来越主观的去解读。对于孙子来说我感觉百家届出易经，所以要先看完已经之后，在看孙子的确思路，上很多问题都茅舍顿开。。乱生于治,怯生于勇,弱生于强 要联系后文乱生于治，怯生于勇，弱生于强。治乱，数也；勇怯，势也；强弱，形也。整体是这样的。后面为孙子注解解释数为编制，势为内在的形势，姿态，心态，形为形式，表征，外形易经 里写的是 理（原理，内部的）象（表象，外部的）数（数术，数据，计算，细节），刚好三者能对应的上也就是说：治乱，应该加强编制，数据分析，数术上进行理解，细节上进行计算。勇怯，势，为内部心态，姿态。使怯弱勇敢，那是内部的，不是外部，所以是心态上的调整。强弱，强弱的对比是形态上的，外观的，强不强，弱不弱，是表象。所以这么解释，就非常清楚了。在后文写的 更有意思了故善动敌者，形之，敌必从之；予之，敌必取之。以利动之，以卒待之因此善于行动和敌人作战的，造成一定的表象，形态，那敌人会根据这个表象来行动；要给敌人甜头，敌人一定会过来取；用利益来诱惑，使敌人行动，然后让敌人仓促，出乎意料，卒为仓促的意思。以上解释都是朱家祖传孙子兵法的注释和理解


作者：金sir
链接：https://www.zhihu.com/question/30486302/answer/200067945
来源：知乎
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。




佯乱生于治,佯怯生于勇,佯弱生于强。

属于“多方以误”的范畴，用来诱敌。也是曹操所注的“毁形匿情”的意思。

—— “故善动敌者，形之，敌必从之；予之，敌必取之；以利动之，以卒待之。”",pink,"pink,favorite",order,7,2022-06-12 10:37:19.558524+00:00,孙子兵法
胜者之战民也，若决积水于千仞之谿者，形也。,孙子兵法 (6元本中华国学百部),孙武,,,green,green,order,66,2023-10-14 03:11:06.136994+00:00,孙子兵法
道者，令民与上同意也，故可以与之死，可以与之生，而不畏危。,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,68,2023-10-14 03:56:52.794642+00:00,孙子兵法
法者，曲制、官道、主用也。,孙子兵法 (6元本中华国学百部),孙武,,,green,green,order,69,2023-10-14 03:57:14.751241+00:00,孙子兵法
奇正相生,孙子兵法 (6元本中华国学百部),孙武,,"就是 奇兵的意思。
那，奇兵的意思呢？ 不知的兵，孙子原话： 敌不知。",pink,pink,order,70,2023-10-17 02:07:32.688971+00:00,孙子兵法
以治待乱，以静待哗，此治心,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,75,2023-10-19 02:59:58.138710+00:00,孙子兵法
军争之难者，以迂为直，以患为利。故迂其途，而诱之以利，后人发，先人至，此知迂直之计者也。,孙子兵法 (6元本中华国学百部),孙武,,"邓艾偷渡剑阁，
项羽回击彭城50万汉军,
超越地理意义的 迂   ，让敌人不知就是  迂。


Essence of Thought Process: The phrase ""以迂为直，以患为利"" from Sun Tzu's ""The Art of War"" captures the essence of employing deception and leveraging disadvantages in warfare. I will unpack these classical Chinese idioms, translating their conceptual depth into a comprehensive explanation.

The phrase ""以迂为直"" (Yǐ yū wéi zhí) literally translates to ""use the indirect as direct."" In military strategy, this refers to the practice of using deceptive or roundabout tactics to achieve a straightforward goal. For instance, rather than confronting an enemy head-on, a general might employ diversionary tactics to mislead the enemy, thereby achieving the original objective with less risk and resource expenditure.

""以患为利"" (Yǐ huàn wéi lì) literally translates to ""turning affliction into benefit."" This advocates transforming disadvantages or setbacks into strategic advantages. For example, retreating might seem like a disadvantage, but it could be used to lure the enemy into a trap.

Together, these phrases encapsulate the essence of tactical unpredictability and resourcefulness. They exhort leaders to look beyond conventional strategies and to embrace both deception and the creative utilization of apparent disadvantages as tools for victory.",pink,"pink,favorite",order,20,2022-06-14 08:50:21.179414+00:00,孙子兵法
人皆知我所以胜之形，而莫知吾所以制胜之形；故其战胜不复，而应形于无穷。,孙子兵法 (6元本中华国学百部),孙武,,"deep features
敌不知",pink,pink,order,55,2022-06-26 10:16:10.790633+00:00,孙子兵法
兵非贵益多也，惟无武进，足以并力、料敌、取人而已。夫惟无虑而易敌者，必擒于人。,孙子兵法 (6元本中华国学百部),孙武,,,green,"pink,green",order,25,2022-06-16 07:26:17.981836+00:00,孙子兵法
汲而先饮者，渴也；见利而不进者，劳也；,孙子兵法 (6元本中华国学百部),孙武,,,green,"pink,green",order,23,2022-06-16 07:21:52.848121+00:00,孙子兵法
"是故屈诸侯者以害，役诸侯者以业，趋诸侯者以利。
故用兵之法，无恃其不来，恃吾有以待也；无恃其不攻，恃吾有所不可攻也。",孙子兵法 (6元本中华国学百部),孙武,,"役诸侯者以业

韩国""间谍""郑国，花10年为秦国修的郑国渠.
中国越南10年的 轮战。",pink,pink,order,21,2022-06-15 08:28:54.850102+00:00,孙子兵法
卒未亲附而罚之，则不服，不服则难用也。卒已亲附而罚不行，则不可用也。故令之以文，齐之以武，是谓必取,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,77,2023-10-22 04:42:38.855674+00:00,孙子兵法
令素行者，与众相得也。,孙子兵法 (6元本中华国学百部),孙武,,,green,green,order,78,2023-10-22 05:18:19.589267+00:00,孙子兵法
夫地形者，兵之助也。料敌制胜，计险厄远近，上将之道也。知此而用战者必胜，不知此而用战者必败。,孙子兵法 (6元本中华国学百部),孙武,,,green,green,order,79,2023-10-22 05:20:37.019656+00:00,孙子兵法
故知兵者，动而不迷，举而不穷。故曰：知彼知己，胜乃不殆；知天知地，胜乃可全,孙子兵法 (6元本中华国学百部),孙武,,,green,green,order,80,2023-10-22 05:46:49.000854+00:00,孙子兵法
"夫霸、王之兵，伐大国，则其众不得聚；威加于敌，则其交不得合。是故不争天下之交，不养天下之权，信己之私，威加于敌，故其城可拔，其国可隳。施无法之赏，悬无政之令，犯三军之众，若使一人。犯之以事，勿告以言；犯之以利，勿告以害。
投之亡地然后存，陷之死地然后生。夫众陷于害，然后能为胜败",孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,31,2022-06-16 08:58:39.780427+00:00,孙子兵法
"合于利而动，不合于利而止。敢问：“敌众整而将来，待之若何？”曰：“先夺其所爱，则听矣。”
兵之情主速，乘人之不及，由不虞之道，攻其所不戒也",孙子兵法 (6元本中华国学百部),孙武,,"当诸葛亮作为对手时候，
诸葛亮举兵而来，
夺其街亭啊！ 诸葛所爱",pink,pink,order,50,2022-06-26 08:10:48.749604+00:00,孙子兵法
谨养而勿劳，并气积力，运兵计谋，为不可测。投之无所往，死且不北。死，焉不得士人尽力。兵士甚陷则不惧，无所往则固，深入则拘，不得已则斗。,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,51,2022-06-26 08:11:46.457673+00:00,孙子兵法
疾战则存，不疾战则亡者，为“死地”；,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,81,2023-10-30 01:32:24.916098+00:00,孙子兵法
禁祥去疑，至死无所之,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,82,2023-10-30 01:39:46.858791+00:00,孙子兵法
投之无所往者，诸、刿之勇也。,孙子兵法 (6元本中华国学百部),孙武,,,pink,pink,order,83,2023-10-30 01:40:29.112365+00:00,孙子兵法
是故不知诸侯之谋者，不能预交；不知山林、险阻、沮泽之形者，不能行军；不用乡导者，不能得地利。四五者，不知一，非霸、王之兵也,孙子兵法 (6元本中华国学百部),孙武,,知人 知地,pink,pink,order,84,2023-10-30 01:56:01.253862+00:00,孙子兵法
故为兵之事，在于顺详敌之意，并敌一向，千里杀将，此谓巧能成事者也。,孙子兵法 (6元本中华国学百部),孙武,,"谨慎审察


顺详敌意, 司马懿 真是高手啊！
将计就计",pink,pink,order,34,2022-06-16 09:07:25.520857+00:00,孙子兵法
敌人开阖，必亟入之。先其所爱，微与之期。践墨随敌，以决战事。是故始如处女，敌人开户；后如脱兔，敌不及拒。,孙子兵法 (6元本中华国学百部),孙武,,"水，因地制流，

兵， 因敌制胜

践墨随敌。",pink,pink,order,58,2022-07-04 11:43:34.087130+00:00,孙子兵法
"故战道必胜，主曰无战，必战可也；战道不胜，主曰必战，无战可也。故进不求名，退不避罪，唯人是保，而利合于主，国之宝也。
视卒如婴儿，故可与之赴深溪；视卒如爱子，故可与之俱死。厚而不能使，爱而不能令，乱而不能治，譬若骄子，不可用也。",孙子兵法 (6元本中华国学百部),孙武,,"登艾
吴起吸给士兵吸毒。",pink,pink,order,26,2022-06-16 08:33:38.320622+00:00,孙子兵法
古之所谓善战者，胜于易胜者也。故善战者之胜也，无奇胜，无智名，无勇功。故其战胜不忒，不忒者，其所措必胜，胜已败者也。故善战者，立于不败之地，而不失敌之败也。是故胜兵先胜而后求战，败兵先战而后求胜。善用兵者，修道而保法，故能为胜败之政。,孙子兵法 (6元本中华国学百部),孙武,,"这不是老子的。
为无为吗.

下围棋，围起来，有形的棋子。 最后，吃对方棋子的叫做武将。

前期，耕耘土地，人口，人心，才叫真正的 善战。


智名，勇功： 李广（程不识）、项羽（王翦）。

故善战者之胜也，无智名，无勇功。
不用聪明，不用勇敢敢，修道就行。 
什么是道？ 全篇都在 讲战争的道理，胜利的道路。
怎么修？  一个一个条件满足。

人皆知我所以胜之形，而莫知吾所以制胜之形；故其战胜不复，而应形于无穷。
水因地而制流，兵因敌而制胜。",pink,pink,order,44,2022-06-23 06:15:08.023805+00:00,孙子兵法
予人荣者，自荣也。予人辱者，自辱也,epub罗织经+荣枯鉴+守弱学+韬晦术+止学+度心术+权谋残卷+处世悬镜+势胜学+予学+仕赢学+观人经+解厄学 copy,zhu lei,,,pink,pink,,0,2019-04-26 05:50:40+00:00,
成无定式，利己利人乃成焉,epub罗织经+荣枯鉴+守弱学+韬晦术+止学+度心术+权谋残卷+处世悬镜+势胜学+予学+仕赢学+观人经+解厄学 copy,zhu lei,,,pink,pink,order,1,2019-04-26 05:53:05+00:00,
败有定法，害人害己乃败焉,epub罗织经+荣枯鉴+守弱学+韬晦术+止学+度心术+权谋残卷+处世悬镜+势胜学+予学+仕赢学+观人经+解厄学 copy,zhu lei,,,pink,pink,order,2,2019-04-26 05:53:18+00:00,
人愚未可言败，愚不为败矣。,epub罗织经+荣枯鉴+守弱学+韬晦术+止学+度心术+权谋残卷+处世悬镜+势胜学+予学+仕赢学+观人经+解厄学 copy,zhu lei,,,pink,pink,order,3,2019-04-26 05:54:44+00:00,
"But then something unusual happened. I started to realize that the insight wasn’t just about algorithms, but also about life.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,1,2024-03-18 09:40:39.512691+00:00,
explicit goals and objectives,Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,2,2024-03-22 08:56:56.631450+00:00,
While you probably won’t experience a day like this one anytime soon—a day without objectives—what would life be like if you could?,Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,green,order,3,2024-03-22 09:35:55.933926+00:00,
"In fact, almost anything worth doing is expressed as an objective.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,green,order,4,2024-03-22 09:46:09.456888+00:00,
we rarely question the value of framing all our pursuits with objectives.,Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,5,2024-03-22 09:54:36.168331+00:00,
"There’s an assumption behind these pursuits that isn’t often stated but that few would think to question: We assume that any worthy social accomplishment is best achieved by first setting it as an objective and then pursuing it together with conviction. It makes you wonder, is there such a thing as accomplishment without objectives?",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,6,2024-03-22 10:06:03.200028+00:00,
"In fact, these kinds of algorithms are quite common in artificial intelligence and machine learning. So it may come as no surprise that the term objective function is now practically a household name in such fields.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,7,2024-03-22 10:14:42.483658+00:00,
They typically set objectives through rigorous specifications.,Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,green,order,8,2024-03-22 10:16:19.782621+00:00,
The idea that all our pursuits can be distilled into neatly-defined objectives and then almost mechanically pursued offers a kind of comfort against the harsh unpredictability of life. There’s something reassuring about the clockwork dependability of a world driven by tidy milestones laid out reliably from the starting line.,Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,9,2024-03-22 10:24:13.910815+00:00,
"Though often unspoken, a common assumption is that the very act of setting an objective creates possibility. The very fact that you put your mind to it is what makes it possible. And once you create the possibility, it’s only a matter of dedication and perseverance before you succeed. This can-do philosophy reflects how deeply optimistic we are about objectives in our culture. All of us are taught that hard work and dedication pay off—if you have a clear objective.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,10,2024-03-24 08:29:28.039423+00:00,
"Even so, perhaps you’ve felt qualms about this kind of thinking from time to time. It might sound good on the face of it, but what it leads to isn’t always so comforting—legions of measurements, assessments, metrics—woven into every aspect of our lives. It’s like we’ve become slaves to our objectives, toiling away towards impossible perfection.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,green,order,11,2024-03-24 08:45:35.756345+00:00,
Usually progress towards the objective is somehow measured. This is where all the measurements and metrics of our culture come into play.,Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,15,2024-03-24 10:35:49.174743+00:00,
"They ignore the value of following a path for its own uniqueness, rather than for where it may lead. The chapters ahead will show that great discoveries are lurking just beyond our fingertips, if only we can let go of the security blanket of the objective. Sometimes, the best way to change the world is to stop trying to change it—perhaps you’ve noticed that your best ideas are often those you were not seeking. We’ll come back to this paradox later, but first let’s think a little more about the way most people approach achievement today.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,为无为,pink,pink,order,12,2024-03-24 08:59:16.895320+00:00,
"once your objective is defined usually the next step is to put all your energy into achieving it. In other words, we pull out all the stops in the pursuit of our goal.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,14,2024-03-24 10:33:02.142823+00:00,
"Everyday successes like these mislead us into believing that setting objectives works well for almost everything. But as objectives become more ambitious, reaching them becomes less promising—and that’s where the argument becomes most interesting.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,16,2024-03-24 11:02:07.547322+00:00,
whatever you feel is most interesting,Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,"pink,favorite",,0,2023-06-11 02:57:47.434606+00:00,
It’s interesting that we rarely talk about the dominance of objectives in our culture even though they impact us from the very beginning of life.,Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,green,order,1,2023-06-11 03:02:19.001321+00:00,
"Obviously we’re going to raise a lot of questions about the benefits of objectives, but one important point is that we’re mainly focused on ambitious objectives—those whose achievement is anything but certain.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,green,order,2,2023-06-11 03:04:21.091824+00:00,
It’s useful to think of achievement as a process of discovery. We can think of painting a masterpiece as essentially discovering it within the set of all possible images.,Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,3,2023-06-11 03:05:13.316587+00:00,
"As we’ve seen throughout this book, the answer turns out to be a kind of paradox—that we can find them by not looking for them—but that doesn’t mean that all is hopeless. On the contrary, it’s critical to realize that just because you don’t start out searching for what you ultimately find does not mean that you are necessarily searching blindly.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,"YouTuber 本来做公司，后来做短视频发达了。
带货的带A货，观众让他不要带A货了，带B货更好。带B货发达了。",pink,pink,order,42,2023-06-24 13:10:47.867652+00:00,
"Objectives are well and good when they are sufficiently modest, but things get a lot more complicated when they’re more ambitious. In fact, objectives actually become obstacles towards more exciting achievements, like those involving discovery, creativity, invention, or innovation—or even achieving true happiness. In other words (and here is the paradox), the greatest achievements become less likely when they are made objectives. Not only that, but this paradox leads to a very strange conclusion—if the paradox is really true then the best way to achieve greatness, the truest path to “blue sky” discovery or to fulfill boundless ambition, is to have no objective at all.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,6,2023-06-11 03:48:19.101933+00:00,
"Why would this be? The key problem is that the stepping stones that lead to ambitious objectives tend to be pretty strange. That is, they probably aren’t what you would predict if you were thinking only of your objective. Put another way, if you were walking through one of these great rooms of all possible things, how the items in the room are arranged would be unpredictable and confusing. History is full of examples of this vexing problem. For example, the very first computer was built with vacuum tubes, which are devices that channel electric current through a vacuum. However, here’s the strange part: The history of vacuum tubes has nothing to do with computers. People like Thomas Edison who were originally interested in vacuum tubes were investigating electricity, not computing.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,就像我问数学老师的这么大力气 学一些 空空的数学logic公式 有啥用呢,pink,pink,order,7,2023-06-11 05:54:28.543274+00:00,
"But the great successes, the ones that come crashing out of nowhere and shake up the system, they don’t usually follow this kind of script.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,green,order,8,2023-06-23 15:02:53.375966+00:00,
"Whether you’re looking for a career, for love, or trying to start companies, there is ample evidence that sticking to objectives just isn’t part of the story in many of the biggest successes. Instead, in those successes there is a willingness to serve serendipity and to follow passions or whims to their logical conclusions. But is there any proof beyond just a set of inspiring anecdotes? In fact, it turns out that we stumbled upon this principle originally through a scientific experiment, as the next chapter reveals, involving hundreds of users on the internet breeding pictures",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,9,2023-06-23 15:08:28.827262+00:00,
"The problem of predicting stepping stones becomes especially hard for ambitious objectives. If you’re on the beach making a sandcastle, it’s clear that sculpting a stable foundation will support the first sand-caked turret. But the stepping stones between a mud hut and a skyscraper are far less clear, and in fact took centuries for humanity to cross. Another way to look at the challenge of ambitious problems is to say that their solutions are more than one stepping stone away.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,10,2023-06-23 15:13:32.146799+00:00,
"It turns out that there’s a good explanation for why stepping stones are so difficult to predict, which connects to the general problem with objectives.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,green,order,11,2023-06-24 00:36:26.858600+00:00,
The problem is that the stepping stones to intelligence do not resemble intelligence at all.,Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,12,2023-06-24 00:39:07.018313+00:00,
"Maybe after all that you’re still a fan of objectives. So it’s important to recall that the concern here is with ambitious objectives—if they are only a stepping stone away, then setting and following objectives still makes good sense. The problem is that the ambitious objectives are the interesting ones, and the idea that the best way to achieve them is by ignoring them flies in the face of common intuition and conventional wisdom. More deeply it suggests that something is wrong at the heart of search. It just doesn’t seem to work like it’s supposed to. The world’s greatest compass can get us lost while a mysterious form of ignorance turns out to be surprisingly powerful. Whenever evidence begins to threaten established wisdom, of course it’s natural to hesitate. Human nature doesn’t abandon convention without a fight. But while one response is to try to argue for normalcy and the status quo, the positive side of uncertainty is opportunity. If the world doesn’t work the way we thought it should, then perhaps the way it really works can be seized to our advantage. To explore this opportunity, the next chapter turns to the question of how to play the game of discovery on its own terms, without our trusted compass: untamed, wild, and unfamiliar.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,13,2023-06-24 00:45:57.774819+00:00,
"In short, objectives mean sailing to a distant destination with an unknown path while novelty requires only steering away from where we’ve been already.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,green,order,14,2023-06-24 02:26:51.133338+00:00,
"Another clue to the importance of novelty in innovation is that humans tend to be very sensitive to it. Often we feel the urge to explore a particular path or idea despite being unsure where it might lead. Our intuitions and hunches often prod us in directions that might not be justified objectively but still lead to something different or interesting. So it’s no coincidence that the concept of interestingness comes up naturally when discussing novelty. When an idea feels genuinely novel, that’s often enough to make us curious. The idea interests us even if its ultimate purpose is unclear.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,green,order,15,2023-06-24 02:28:52.481947+00:00,
Maybe there isn’t really a satisfying answer to this question. The idea that there’s a single cure-all method for success that always gets you where you want to go is so enticing that it absorbs a huge amount of human passion and energy. It’s like the empty quests of past explorers for the fountain of youth. But it just might be that we’ve been looking at the whole issue from the wrong perspective. Maybe you simply can’t always get what you want when you want it. Perhaps there is no magic bullet that can always reach each and every objective that can be imagined.,Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,"green,favorite",order,16,2023-06-24 02:36:09.265919+00:00,
"Of course, there have also been demonstrations of the limitations of novelty search. It’s no magic bullet and cannot solve every problem.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,green,order,17,2023-06-24 02:44:00.401442+00:00,
"Not everything is possible. You can’t jump twelve feet in the air. And while many children dream of becoming an astronaut, only a few will actually pilot a spacecraft. Impossibility isn’t a popular topic in our culture, where we say that you can be anything that you want to be, do anything if you put your mind to it. But in this chapter we’ll stare impossibility straight in the eye—though we won’t sacrifice our optimism in exchange. Instead, we’ll discover a source of optimism that embraces the uncertainty of the far future rather than fearing or denying it. This journey begins by considering both the power and limitations of searching for novelty.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,21,2023-06-24 03:02:53.117407+00:00,
"The more ambitious our objectives, the more deceptive they become as well. Deception is just a very nasty beast. And when you’re dealing with deception, by definition the objective is a false compass. So no matter how much you do to convince yourself that you can keep your objective as long as you’re still open-minded, that doesn’t undo the fact that the objective is pointing in the wrong direction.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,22,2023-06-24 03:07:22.534759+00:00,
"And even if your own personal journey doesn’t end where you had hoped, the idea of the solitary inventor striving relentlessly towards her inevitable objective was always a myth. Rather, it’s the combination of many minds with many different interests that ultimately plunders the search space in the long run, not any individual objective or person.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,#6,pink,pink,order,27,2023-06-24 03:37:30.899608+00:00,
"the way to unleash the treasure hunter is actually through separating people from each other, like in Picbreeder, where people only interact by taking off from where someone else left. While many participants in such a treasure-hunting system might arrive with their own personal objectives, the system as a whole ends up lacking a unified objective because people’s objectives differ.",Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,pink,pink,order,27,2023-06-24 03:39:24.197355+00:00,
The main point is that the treasure hunter can be harnessed to create and discover innovative concepts that otherwise would never exist.,Why Greatness Cannot Be Planned_The Myth of the Objective,Kenneth O. O. Stanley,,,green,green,order,28,2023-06-24 03:43:39.741560+00:00,
